Land-Ocean: Northern Hemispheric Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1897,-0.39,-0.41,-0.39,-0.05,0.14,-0.06,0.05,-0.06,-0.06,-0.14,-0.26,-0.27,-0.16,-0.15,-0.34,-0.1,-0.02,-0.16
1898,0.07,-0.44,-0.78,-0.27,-0.26,-0.07,-0.1,-0.16,-0.16,-0.36,-0.5,-0.26,-0.27,-0.27,-0.21,-0.44,-0.11,-0.34
1899,-0.11,-0.64,-0.58,-0.23,-0.24,-0.35,-0.16,-0.07,-0.05,0.04,0.37,-0.46,-0.21,-0.19,-0.34,-0.35,-0.19,0.12
1900,-0.61,-0.13,0.06,-0.09,-0.03,-0.09,-0.11,-0.09,-0.02,0.24,-0.11,-0.02,-0.08,-0.12,-0.4,-0.02,-0.1,0.03
1901,-0.33,-0.09,0.28,0.11,-0.11,0.01,0.01,-0.16,-0.26,-0.32,-0.22,-0.4,-0.12,-0.09,-0.15,0.09,-0.05,-0.27
1902,-0.16,0.02,-0.38,-0.38,-0.38,-0.35,-0.32,-0.27,-0.33,-0.29,-0.44,-0.59,-0.32,-0.31,-0.18,-0.38,-0.32,-0.35
1903,-0.21,0.13,-0.13,-0.45,-0.42,-0.44,-0.43,-0.54,-0.48,-0.48,-0.41,-0.56,-0.37,-0.37,-0.22,-0.34,-0.47,-0.46
1904,-0.76,-0.59,-0.4,-0.49,-0.44,-0.48,-0.58,-0.53,-0.63,-0.38,-0.08,-0.35,-0.48,-0.49,-0.64,-0.44,-0.53,-0.36
1905,-0.42,-0.82,-0.23,-0.46,-0.29,-0.27,-0.21,-0.23,-0.19,-0.26,0.09,-0.17,-0.29,-0.3,-0.53,-0.33,-0.24,-0.12
1906,-0.56,-0.53,-0.21,0.04,-0.25,-0.12,-0.26,-0.17,-0.24,-0.18,-0.4,0.02,-0.24,-0.25,-0.42,-0.14,-0.18,-0.27
1907,-0.59,-0.73,-0.31,-0.46,-0.59,-0.51,-0.4,-0.38,-0.4,-0.19,-0.55,-0.57,-0.47,-0.42,-0.43,-0.45,-0.43,-0.38
1908,-0.55,-0.28,-0.7,-0.48,-0.3,-0.31,-0.36,-0.57,-0.31,-0.45,-0.63,-0.55,-0.46,-0.46,-0.47,-0.49,-0.41,-0.46
1909,-0.93,-0.46,-0.67,-0.66,-0.49,-0.51,-0.45,-0.35,-0.38,-0.33,-0.12,-0.58,-0.5,-0.49,-0.65,-0.61,-0.44,-0.28
1910,-0.36,-0.39,-0.5,-0.41,-0.3,-0.45,-0.38,-0.4,-0.43,-0.31,-0.57,-0.81,-0.44,-0.43,-0.44,-0.41,-0.41,-0.44
1911,-0.71,-0.59,-0.64,-0.46,-0.46,-0.34,-0.36,-0.44,-0.38,-0.19,-0.2,-0.3,-0.42,-0.46,-0.7,-0.52,-0.38,-0.26
1912,-0.35,-0.17,-0.61,-0.16,-0.12,-0.13,-0.52,-0.77,-0.81,-0.85,-0.51,-0.57,-0.46,-0.44,-0.27,-0.3,-0.47,-0.72
1913,-0.56,-0.65,-0.48,-0.51,-0.55,-0.5,-0.52,-0.46,-0.43,-0.39,-0.14,0.11,-0.42,-0.48,-0.59,-0.51,-0.49,-0.32
1914,0.16,-0.11,-0.36,-0.39,-0.19,-0.24,-0.35,-0.29,-0.31,-0.02,-0.23,-0.06,-0.2,-0.18,0.05,-0.32,-0.29,-0.18
1915,-0.27,-0.09,-0.24,0.07,-0.02,-0.12,-0.09,-0.16,-0.21,-0.27,-0.04,-0.26,-0.14,-0.12,-0.14,-0.06,-0.12,-0.17
1916,-0.09,-0.16,-0.39,-0.34,-0.36,-0.5,-0.33,-0.37,-0.49,-0.35,-0.46,-1.13,-0.41,-0.34,-0.17,-0.36,-0.4,-0.43
1917,-0.54,-0.69,-0.75,-0.65,-0.73,-0.49,-0.33,-0.4,-0.31,-0.63,-0.32,-1.06,-0.57,-0.58,-0.78,-0.71,-0.41,-0.42
1918,-0.69,-0.46,-0.25,-0.59,-0.49,-0.45,-0.34,-0.37,-0.25,-0.05,-0.22,-0.56,-0.4,-0.44,-0.74,-0.45,-0.39,-0.17
1919,-0.38,-0.41,-0.39,-0.24,-0.42,-0.39,-0.34,-0.3,-0.19,-0.09,-0.47,-0.55,-0.35,-0.35,-0.45,-0.35,-0.35,-0.25
1920,-0.15,-0.28,0,-0.21,-0.22,-0.26,-0.26,-0.33,-0.36,-0.4,-0.45,-0.72,-0.3,-0.29,-0.33,-0.14,-0.28,-0.41
1921,0.18,-0.09,-0.11,-0.18,-0.25,-0.15,-0.03,-0.29,-0.18,0,-0.09,-0.13,-0.11,-0.16,-0.21,-0.18,-0.16,-0.09
1922,-0.37,-0.62,-0.11,-0.16,-0.19,-0.16,-0.28,-0.37,-0.44,-0.32,-0.13,-0.15,-0.28,-0.27,-0.37,-0.15,-0.27,-0.3
1923,-0.19,-0.47,-0.39,-0.53,-0.39,-0.24,-0.29,-0.27,-0.17,0.06,0.16,0.09,-0.22,-0.24,-0.27,-0.44,-0.27,0.02
1924,-0.28,-0.21,0.03,-0.28,-0.06,-0.19,-0.22,-0.26,-0.22,-0.24,0.1,-0.36,-0.18,-0.15,-0.14,-0.1,-0.22,-0.12
1925,-0.28,-0.38,-0.23,-0.16,-0.22,-0.25,-0.25,-0.19,-0.04,-0.08,0.22,0.23,-0.14,-0.19,-0.34,-0.2,-0.23,0.03
1926,0.53,0.19,0.38,-0.11,-0.23,-0.19,-0.2,-0.05,-0.02,0.07,0.17,-0.29,0.02,0.06,0.31,0.01,-0.15,0.07
1927,-0.28,-0.08,-0.47,-0.27,-0.13,-0.13,-0.07,-0.16,0.03,0.24,0.09,-0.37,-0.13,-0.13,-0.22,-0.29,-0.12,0.12
1928,0.27,0.09,-0.23,-0.31,-0.17,-0.32,-0.1,-0.19,-0.16,-0.08,0.05,-0.04,-0.1,-0.13,0,-0.24,-0.2,-0.06
1929,-0.56,-0.79,-0.19,-0.36,-0.28,-0.39,-0.36,-0.2,-0.2,-0.01,-0.02,-0.65,-0.34,-0.28,-0.46,-0.28,-0.32,-0.08
1930,-0.11,-0.2,0.11,-0.16,-0.2,-0.12,-0.03,0.01,-0.02,0.02,0.44,0.08,-0.02,-0.08,-0.32,-0.09,-0.05,0.15
1931,0.01,-0.23,-0.06,-0.2,-0.14,0.15,0.07,0.09,0.16,0.35,0.25,0.1,0.05,0.04,-0.05,-0.13,0.1,0.26
1932,0.38,-0.19,-0.21,0.09,-0.1,-0.14,-0.15,-0.09,0.1,0.14,-0.33,-0.21,-0.06,-0.03,0.1,-0.07,-0.13,-0.03
1933,-0.19,-0.31,-0.32,-0.17,-0.27,-0.32,-0.14,-0.15,-0.28,-0.18,-0.25,-0.55,-0.26,-0.23,-0.24,-0.25,-0.2,-0.23
1934,-0.15,0.33,-0.27,-0.29,0.08,-0.01,-0.04,-0.1,-0.14,0.13,0.26,0.18,0,-0.06,-0.12,-0.16,-0.05,0.08
1935,-0.4,0.56,0.03,-0.35,-0.29,-0.15,-0.05,-0.07,-0.06,0.11,-0.32,-0.17,-0.1,-0.07,0.11,-0.21,-0.09,-0.09
1936,-0.29,-0.51,-0.13,-0.06,-0.01,0.04,0.08,0.03,0.06,0.07,0.15,0.15,-0.03,-0.06,-0.32,-0.07,0.05,0.09
1937,0.09,0.24,-0.23,-0.07,0.12,0.14,0.14,0.15,0.29,0.33,0.25,0,0.12,0.13,0.16,-0.06,0.15,0.29
1938,0.35,0.28,0.34,0.31,0.03,-0.06,-0.03,0.08,0.15,0.32,0.31,-0.13,0.16,0.17,0.21,0.22,0,0.26
1939,0.03,-0.01,-0.24,-0.07,0.01,0,0.05,0.08,0.13,0.08,0.24,0.79,0.09,0.01,-0.04,-0.1,0.04,0.15
1940,-0.1,0.14,0.03,0.28,0.17,0.16,0.15,0.07,0.27,0.29,0.3,0.36,0.18,0.21,0.28,0.16,0.13,0.29
1941,0.18,0.47,0.12,0.12,0.24,0.21,0.25,0.19,0.1,0.5,0.18,0.19,0.23,0.24,0.34,0.16,0.22,0.26
1942,0.41,-0.08,0,0.09,0.17,0.11,-0.01,-0.08,0.11,0.28,0.26,0.27,0.13,0.12,0.17,0.08,0.01,0.22
1943,-0.09,0.38,0,0.31,0.23,-0.07,-0.02,0.1,0.14,0.46,0.36,0.37,0.18,0.17,0.19,0.18,0.01,0.32
1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.16,0.35,0.44,0.19,-0.01,0.27,0.3,0.48,0.24,0.16,0.33
1945,0.1,-0.06,0.09,0.29,0.08,0.08,0.06,0.28,0.2,0.24,0.08,-0.21,0.1,0.12,0.01,0.15,0.14,0.17
1946,0.34,0.09,0.12,0.31,0.03,-0.05,-0.04,-0.1,-0.03,0.02,0.07,-0.45,0.03,0.05,0.07,0.15,-0.06,0.02
1947,-0.04,-0.04,0.28,0.22,0.06,0,-0.03,-0.05,-0.01,0.4,0.19,-0.05,0.08,0.04,-0.18,0.19,-0.03,0.19
1948,0.3,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.02,-0.03,0.07,0.03,-0.39,-0.02,0.01,0.04,-0.05,0.03,0.03
1949,0.23,-0.09,0.04,-0.03,0,-0.2,-0.11,-0.05,-0.1,0.07,0.05,-0.14,-0.03,-0.05,-0.08,0.01,-0.12,0.01
1950,-0.29,-0.27,0.06,-0.22,-0.04,-0.06,-0.19,-0.2,-0.09,-0.06,-0.33,-0.13,-0.15,-0.15,-0.23,-0.07,-0.15,-0.16
1951,-0.36,-0.52,-0.18,0.07,0.17,-0.02,0.08,0.22,0.33,0.29,0.08,0.38,0.04,0,-0.34,0.02,0.1,0.23
1952,0.17,0.17,-0.22,0.17,0.15,0.16,0.14,0.07,0.14,-0.01,-0.21,0.01,0.06,0.09,0.24,0.03,0.12,-0.03
1953,0.23,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22,0.24,0.22,0.2,0.3,0.22,0.17
1954,-0.24,-0.01,-0.16,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11,-0.02,0.01,-0.01,-0.08,-0.05,0.19
1955,0.42,-0.12,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.28,-0.09,-0.08,0.06,-0.27,-0.03,-0.08
1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.26,-0.1,-0.23,-0.25,-0.22,-0.26,-0.23,-0.29
1957,-0.14,-0.06,-0.1,-0.09,-0.05,0.12,0.11,0.16,0.12,0.06,0.12,0.24,0.04,0.01,-0.1,-0.08,0.13,0.1
1958,0.69,0.28,0.16,0.02,0.12,0.04,0.04,0.13,0.07,0.08,0.03,0.18,0.15,0.16,0.4,0.1,0.07,0.06
1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.1,0.13,-0.04,0.03,0.1,0.12,0.13,0.19,0.2,0.1,0.04
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39,0.08,0.05,0.22,-0.16,0.13,0.03
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.02,-0.04,0.08,-0.17,0.09,0.13,0.29,0.14,0.1,0.01
1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1,0.13,0.1,0.16,0.18,0,0.08
1963,0.07,0.5,-0.11,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.02,0.14,0.14,0.23,-0.04,0.07,0.33
1964,-0.04,-0.03,-0.32,-0.3,-0.1,-0.1,-0.13,-0.23,-0.28,-0.31,-0.21,-0.27,-0.19,-0.17,-0.02,-0.24,-0.15,-0.27
1965,-0.02,-0.37,-0.1,-0.26,-0.14,-0.2,-0.18,-0.2,-0.2,-0.02,0.04,-0.08,-0.14,-0.16,-0.22,-0.16,-0.2,-0.06
1966,-0.25,0.03,0,-0.22,-0.05,0.06,0.11,0.14,0.06,-0.1,0.02,-0.03,-0.02,-0.02,-0.1,-0.09,0.1,0
1967,-0.18,-0.37,0.23,0.05,0.21,-0.06,0.04,0.06,-0.03,0.29,0.04,0.02,0.03,0.02,-0.19,0.16,0.02,0.1
